SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1121,CMPT    ,276,SURREY    ,35,31,Brian Fraser                                                                                                                                                                                                                                              ,LEC
1181,CMPT    ,373,SURREY    ,48,18,William Sumner                                                                                                                                                                                                                                            ,LEC
1147,ENSC    ,120,BURNABY   ,30,30,Meenakshinathan Parameswaran                                                                                                                                                                                                                              ,LAB
1154,MSE     ,311,SURREY    ,120,108,Behraad Bahreyni                                                                                                                                                                                                                                          ,LEC
1174,MSE     ,311,SURREY    ,52,47,Behraad Bahreyni                                                                                                                                                                                                                                          ,LAB
1134,MSE     ,391,SURREY    ,33,27,Amr Marzouk                                                                                                                                                                                                                                               ,LAB
1157,MSE     ,193,SURREY    ,10,0,"Harriet Chicoine, Stephanie DeRapp                                                                                                                                                                                                                        ",SEC
1177,MSE     ,486,SURREY    ,5,2,Ahmad Rad                                                                                                                                                                                                                                                 ,SEM
1177,MSE     ,486,SURREY    ,5,1,Mohammad Narimani                                                                                                                                                                                                                                         ,SEM
1171,MSE     ,223,SURREY    ,108,94,Ghasem Behfarshad                                                                                                                                                                                                                                         ,LEC
1171,MSE     ,480,SURREY    ,90,78,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1181,MSE     ,480,SURREY    ,86,74,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1167,MSE     ,380,SURREY    ,105,0,Kevin Oldknow                                                                                                                                                                                                                                             ,OPL
1167,MSE     ,380,SURREY    ,105,0,Kevin Oldknow                                                                                                                                                                                                                                             ,OPL
1157,MSE     ,320,SURREY    ,43,17,Gary Wang                                                                                                                                                                                                                                                 ,LAB
1177,MSE     ,320,SURREY    ,120,94,"Kambiz Haji Hajikolaei, Krishna Vijayaraghavan                                                                                                                                                                                                            ",TUT
1177,CMPT    ,130,SURREY    ,24,23,Toby Donaldson                                                                                                                                                                                                                                            ,LAB
1127,CMPT    ,130,SURREY    ,26,26,Brian Fraser                                                                                                                                                                                                                                              ,LAB
1167,MSE     ,393,SURREY    ,25,27,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1167,CMPT    ,130,SURREY    ,26,23,Brian Fraser                                                                                                                                                                                                                                              ,LAB
1177,MSE     ,393,METRO     ,25,32,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1147,MSE     ,293,SURREY    ,25,6,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1164,CMPT    ,373,SURREY    ,14,16,Brian Fraser                                                                                                                                                                                                                                              ,TUT
1124,CMPT    ,431,BURNABY   ,55,39,Alexandra Fedorova                                                                                                                                                                                                                                        ,LEC
1137,CMPT    ,468,SURREY    ,39,22,Tamara Smyth                                                                                                                                                                                                                                              ,LEC
1084,IAT     ,488,SURREY    ,1,1,Stephen Dipaola                                                                                                                                                                                                                                           ,SEC
1141,DDP     ,210,OFF       ,30,5,Ze-Nian Li                                                                                                                                                                                                                                                ,SEC
